epoch,loss,lr,psnr,ssim_loss
0,0.03221038728952408,0.002,20.374725341796875,0.7515242099761963
1,0.015967894345521927,0.002,18.151044845581055,0.5890268087387085
2,0.01652020402252674,0.002,17.99821662902832,0.7521910667419434
3,0.0056708017364144325,0.002,22.92173957824707,0.5479447841644287
4,0.00337606412358582,0.002,24.713668823242188,0.44506755471229553
5,0.003475009696558118,0.002,24.669401168823242,0.5956559777259827
6,0.0022736622486263514,0.002,26.47759437561035,0.7885420918464661
7,0.0019011395052075386,0.002,27.230775833129883,0.8549089431762695
8,0.0018373358761891723,0.002,27.38495445251465,0.8617472052574158
9,0.0015948163345456123,0.002,28.0008487701416,0.8761516213417053
10,0.0014542803401127458,0.002,28.36126708984375,0.8832008838653564
11,0.0013803435722365975,0.002,28.61138916015625,0.8968467116355896
12,0.0013247508322820067,0.002,28.82017707824707,0.8819454312324524
13,0.0012949896045029163,0.002,28.865922927856445,0.8851493000984192
14,0.0012316997162997723,0.002,29.106691360473633,0.9053294062614441
15,0.0012026361655443907,0.002,29.20073890686035,0.9155480861663818
16,0.0011545256711542606,0.002,29.37357521057129,0.9181391596794128
17,0.0011220991145819426,0.002,29.522066116333008,0.9222061634063721
18,0.0010928469710052013,0.002,29.61667823791504,0.9214069247245789
19,0.0010671458439901471,0.002,29.7323055267334,0.9243634343147278
20,0.0010433513671159744,0.002,29.796491622924805,0.923496425151825
21,0.001021643984131515,0.002,29.92327308654785,0.9254661202430725
22,0.0010021720081567764,0.002,30.01696014404297,0.9270718693733215
23,0.0009812917560338974,0.002,30.091344833374023,0.9282315373420715
24,0.0009651642758399248,0.002,30.15477180480957,0.9301586151123047
25,0.0009495823760516942,0.002,30.24088478088379,0.9314929842948914
26,0.0009345263242721558,0.002,30.315702438354492,0.9331666827201843
27,0.0009199963533319533,0.002,30.380762100219727,0.934283435344696
28,0.0009012487134896219,0.002,30.45427131652832,0.9375534653663635
29,0.0010443554492667317,0.002,29.87380027770996,0.9337389469146729
30,0.0009260010556317866,0.002,30.39429473876953,0.9383986592292786
31,0.0009058433934114873,0.002,30.42205238342285,0.9374601244926453
32,0.0008722449420019984,0.002,30.6162109375,0.9393342137336731
33,0.0008625158225186169,0.002,30.640586853027344,0.9413854479789734
34,0.0008449575980193913,0.002,30.72507667541504,0.9425716400146484
35,0.0008344248053617775,0.002,30.772390365600586,0.9426755905151367
36,0.0008221690077334642,0.002,30.926910400390625,0.9437084794044495
37,0.0008098634425550699,0.002,30.983428955078125,0.9446104168891907
38,0.0008042110130190849,0.002,30.97693634033203,0.9450567364692688
39,0.0007968258578330278,0.002,30.97286033630371,0.9453642964363098
40,0.0007862511556595564,0.002,31.049726486206055,0.9462189078330994
41,0.0007799477898515761,0.002,31.126327514648438,0.9468790888786316
42,0.0007721124566160142,0.002,31.13953399658203,0.9472644925117493
43,0.0007643174612894654,0.002,31.165061950683594,0.9476849436759949
44,0.0007586425635963678,0.002,31.240509033203125,0.9479556083679199
45,0.0007533393218182027,0.002,31.214128494262695,0.9478893280029297
46,0.0007484914385713637,0.002,31.320505142211914,0.9484148025512695
47,0.0007433550199493766,0.002,31.32328987121582,0.9489514231681824
48,0.0007390371756628156,0.002,31.309431076049805,0.9488028883934021
